"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4358","Пользователь создает новую статью @e2e","chromium","Fri Nov 14 12:03:01 UTC 2025","passed","Fri Nov 14 12:03:06 UTC 2025","Пользователь работает с приложением после авторизации","","",""
"","4484","Пользователь пишет комментарий @e2e","chromium","Fri Nov 14 12:03:06 UTC 2025","passed","Fri Nov 14 12:03:11 UTC 2025","Пользователь работает с приложением после авторизации","","",""
"","15","POST Create ToDo with wrong doneStatus","chromium","Fri Nov 14 12:03:01 UTC 2025","passed","Fri Nov 14 12:03:01 UTC 2025","Challenge","","",""
"","5289","Пользователь редактирует созданную статью @e2e","chromium","Fri Nov 14 12:03:01 UTC 2025","passed","Fri Nov 14 12:03:07 UTC 2025","Пользователь работает с приложением после авторизации","","",""
"","25","POST Create ToDo with too long title","chromium","Fri Nov 14 12:03:01 UTC 2025","passed","Fri Nov 14 12:03:01 UTC 2025","Challenge","","",""
"","18","POST Create ToDo with too long description","chromium","Fri Nov 14 12:03:01 UTC 2025","passed","Fri Nov 14 12:03:01 UTC 2025","Challenge","","",""
"","22","POST Create ToDo","chromium","Fri Nov 14 12:03:01 UTC 2025","passed","Fri Nov 14 12:03:01 UTC 2025","Challenge","","",""
"","4377","Пользователь удаляет созданную статью @e2e","chromium","Fri Nov 14 12:03:11 UTC 2025","passed","Fri Nov 14 12:03:15 UTC 2025","Пользователь работает с приложением после авторизации","","",""
"","5325","Пользователь удаляет свой комментарий @e2e","chromium","Fri Nov 14 12:03:07 UTC 2025","passed","Fri Nov 14 12:03:12 UTC 2025","Пользователь работает с приложением после авторизации","","",""
"","23","POST Create ToDo with max out content","chromium","Fri Nov 14 12:03:01 UTC 2025","passed","Fri Nov 14 12:03:01 UTC 2025","Challenge","","",""
